Timestamp,What is your age?,Gender,Class,City/ Residencial status,Type of Family,What type of video games do you typically play?,Name the video game you usually play ,NAME THE VIDEO GAME YOU USUALLY PLAY ,How many hours do you play Video Games in  a day?,"How much time do you play ""violent"" video games specifically?",What changes on behaviour have you experienced in yourself after playing violent video games?,Some of my Friends think I am hothead,"If I have to resort to violence to protect my rights, I will","When people are especially nice to me, I wonder what they want",I tell my friends openly when I disagree with them,"Once I became so mad, I broke things",When people disagree with me I get into arguments,When I argue I use abusive language,I am a hot-tempered person,I am suspicious of strangers who are too friendly,I have threatened some people whom I know,I can get angry suddenly but get over it quickly,"If I am provoked enough, I will hit another person","When people annoy me, I openly tell them what I think of them",I may hit a person for no good reason,Sometimes I feel I am being treated unfairly,I have trouble controlling my temper,"When frustrated, I show my irritation",Sometimes I feel people are laughing behind my back,I often disagree with people,"If somebody hits me, I hit back",I sometimes feel like exploding for no good reason,I feel other people always take over the oppurtunity and I miss it,there are people who pushed me so far that we begin fighting,"I know that some so called ""friends"" talk about me behind my back",My friends say that I am a bit argumentative,Sometimes I lose temper for no good reason,I get into fights a little more than a normal person,sometimes I can not control the feeling to hit another person ,I sometimes get too much jealous from people,I dont know why sometimes I feel bitter about things,"Have you ever been involved in delinquent behaviour? like stealing, breaking things of others",Do you believe that playing violent video games can lead to aggressive behavior in real life?
7/11/2023 22:16,20,male,12th,Lahore,joint,action,Pubg,PUBG,more than 3 hour,more than 2 hour,Frustation,agree,Disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Strongly disagree,Disagree,Agree,,,no,yes
7/11/2023 23:01,18,male,11th,Lahore,joint,action,Pubg,PUBG,more than 3 hour,more than 2 hour,Agerresion .  voilent stunt,strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,yes,yes
7/11/2023 23:11,16,male,11th,Lahore ,nuclear,action,PUBG ,PUBG ,more than 1 hour,more than 1 hour,aggressive ,disagree,Strongly disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,yes,yes
7/11/2023 23:12,19,female,12th,Lahore,nuclear,word connect,word connect,WORD CONNECT,less than 1 hour,less than 1 hour,feel fresh,strongly disagree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Strongly agree,Disagree,Disagree,Disagree,Agree,Strongly agree,Disagree,Disagree,Agree,Strongly disagree,Agree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,no,yes
7/11/2023 23:14,19,male,12th,Balochistan ,joint,action,Pubg,PUBG,more than 2 hour,more than 2 hour,Aggression ,agree,Strongly agree,Neither agree nor disagree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,yes,yes
7/11/2023 23:17,18,male,Bachelor ,Pakistan Lahore ,joint,action,PubG ,PUBG ,less than 1 hour,less than 1 hour,Always attentive ,disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,no,yes
7/11/2023 23:22,17,male,10th,Kasur,nuclear,Racing,Need for Speed,NEED FOR SPEED,less than 1 hour,less than 1 hour,i think I forget other important things once start playing,disagree,Agree,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,yes,yes
7/11/2023 23:22,17,male,12th,Lahore ,joint,sports,Cricket,CRICKET,less than 1 hour,less than 1 hour,No chnged,strongly disagree,Strongly disagree,Agree,Agree,Disagree,Disagree,Strongly disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Strongly agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,no,no
7/11/2023 23:31,19,male,Job,Alhumdullah,joint,action,Pubg,PUBG,more than 2 hour,less than 1 hour,No it's depends on your mind??????,strongly disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Agree,no,no
7/11/2023 23:41,18,male,12th,Lahore ,extended,sports,Pubg,PUBG,more than 1 hour,less than 1 hour,"Aggression, anxiety ",disagree,Agree,Agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,no,no
7/11/2023 23:44,20,male,Uni,House,nuclear,sports,GTA,GTA,more than 3 hour,more than 2 hour,"Mostly none , I feel good after a hard day",niether disagree nor agree,Strongly agree,Strongly agree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,yes,yes
7/12/2023 0:06,19,male,12th,Goood ,joint,sports,Football ,FOOTBALL ,less than 1 hour,less than 1 hour,football ,strongly agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Neither agree nor disagree,yes,no
7/12/2023 0:44,17,male,11th,Larkana,joint,sports,No,NO,less than 1 hour,less than 1 hour,No,strongly disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Agree,Disagree,no,no
7/12/2023 1:21,17,male,12th,Lahore ,nuclear,Free fire,Free fire,FREE FIRE,more than 1 hour,less than 1 hour,Nothing ,niether disagree nor agree,Agree,Neither agree nor disagree,Agree,Strongly disagree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,no,no
7/12/2023 5:02,17,male,12th,Lahore Pakistan ,joint,sports,Score hero ,SCORE HERO ,less than 1 hour,less than 1 hour,Nothing much,strongly disagree,Agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Strongly disagree,Agree,Disagree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,no,yes
7/12/2023 9:28,18,female,11th,Own,nuclear,puzzle,Subway surfer's ,SUBWAY SURFER'S ,more than 3 hour,less than 1 hour,I feel anger,niether disagree nor agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,yes,yes
7/12/2023 10:41,19,male,12th,Pakpattan ,joint,puzzle,Bubble shooter,BUBBLE SHOOTER,more than 1 hour,less than 1 hour,Aggressive behavior ,strongly disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Disagree,Strongly disagree,Strongly agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Disagree,Agree,Agree,Strongly agree,no,yes
7/12/2023 11:22,17,male,11th,Lahore,joint,puzzle,Taken 3,TAKEN 3,more than 2 hour,less than 1 hour,Feeling superstitious ,disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,no,yes
7/12/2023 11:32,19,male,12th,Lahore,joint,action,Valorant,VALORANT,more than 3 hour,more than 3 hour,Cool Mind ,agree,Strongly disagree,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,no,yes
7/12/2023 11:44,17,male,11th,Family,joint,action,Pubg,PUBG,more than 5 hour,more than 5 hour,"Agression, hypertension, losing control on myself",agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,yes,yes
7/12/2023 11:50,19,male,12th,Allama Iqbal Town lahore ,joint,sports,Cricket ,CRICKET ,more than 2 hour,less than 1 hour,Aggressive ,niether disagree nor agree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,no,yes
7/12/2023 13:09,20,male,Msc,Owner,joint,puzzle,Candy crush,CANDY CRUSH,less than 1 hour,less than 1 hour,No change ,niether disagree nor agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Neither agree nor disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Agree,Agree,Agree,Strongly agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,yes,no
7/12/2023 14:40,20,male,14,Chaman,joint,puzzle,Clash of clains,CLASH OF CLAINS,less than 1 hour,less than 1 hour,Mind relaxed and time pass,agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,no,no
7/12/2023 14:51,20,male,Bs ,Quetta ,joint,sports,Pubg,PUBG,more than 3 hour,less than 1 hour,I can't play ,disagree,Strongly disagree,Agree,Disagree,Disagree,Agree,Strongly disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,no,yes
7/12/2023 14:56,19,male,11th,Lahore,nuclear,sports,Sports,SPORTS,less than 1 hour,less than 1 hour,Aggressive ,niether disagree nor agree,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,no,yes
7/12/2023 14:57,19,female,12th,Balochistan,joint,action,Pubg,PUBG,more than 1 hour,more than 1 hour,Little aggression,agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,yes,yes
7/12/2023 15:02,19,male,12th,Lahore DHA ,joint,sports,Cricket ,CRICKET ,more than 1 hour,less than 1 hour,Headache ,disagree,Disagree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,no,yes
7/12/2023 15:02,23,male,MA History ,Punjab university Hostel,nuclear,sports,Cricket ,CRICKET ,less than 1 hour,less than 1 hour,Encourage ,strongly disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,Disagree,Strongly disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Strongly disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Disagree,Neither agree nor disagree,Disagree,Strongly disagree,no,yes
7/12/2023 15:02,20,male,BS,Lahire DHA,nuclear,puzzle,Sega,SEGA,more than 1 hour,more than 2 hour,I feel confident,strongly disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,no,yes
7/12/2023 15:04,18,male,12th,Lahore,joint,fighting,PUBG,PUBG,more than 2 hour,less than 1 hour,I feel aggressive,niether disagree nor agree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,yes,yes
7/12/2023 15:23,19,male,12th,zhob,joint,action,gta vice city,GTA VICE CITY,more than 1 hour,more than 1 hour,nothigs,niether disagree nor agree,Disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Neither agree nor disagree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Disagree,Neither agree nor disagree,Strongly disagree,Agree,Strongly agree,Disagree,Neither agree nor disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,no,no
7/12/2023 15:33,19,male,12th,Lahore ,joint,fighting,Taken 5,TAKEN 5,more than 2 hour,more than 2 hour,Aggression,niether disagree nor agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,no,yes
7/12/2023 15:42,19,male,12th,Lahore,joint,fighting,Clash of clans,CLASH OF CLANS,more than 1 hour,less than 1 hour,Nill,niether disagree nor agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,no,yes
7/12/2023 15:42,28,female,AM,Student,joint,action,Pubg,PUBG,more than 1 hour,more than 1 hour,"Relax
",niether disagree nor agree,Disagree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Strongly agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Disagree,Agree,yes,yes
7/12/2023 15:47,19,male,12th,Zhob,joint,sports,Football game,FOOTBALL GAME,less than 1 hour,less than 1 hour,Some experience,agree,Agree,Neither agree nor disagree,Strongly agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Agree,no,yes
7/12/2023 15:50,19,female,B.com,Nankana sahib ,joint,puzzle,Puzzle,PUZZLE,less than 1 hour,less than 1 hour,Roud,strongly disagree,Strongly disagree,Disagree,Strongly agree,Disagree,Disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Strongly disagree,Disagree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,no,yes
